lg_country_code,city_name,zone_name,created_date_local,promised_delivery_time_bucket_min,gross_orders,successful_orders,distance_order_count,surge_multiplier,mean_delay,cvr,healthy_vendor_availability_sessions
no,Oslo,Baerum,2025-07-14,32.0,20,20,3473.8,0,14.659757580585868,0.18390804597701149,1.0
no,Oslo,Baerum,2025-07-14,33.0,25,25,4207.36,0.080928023,14.480780527393561,0.23469387755102042,0.95604395604395609
no,Oslo,Baerum,2025-07-14,34.0,33,31,4319.59375,0.018046936,14.852520568624387,0.25190839694656486,0.97345132743362828
no,Oslo,Baerum,2025-07-14,35.0,21,21,5781.8095238095239,0,14.088043940518434,0.18181818181818182,0.98550724637681164
no,Oslo,Baerum,2025-07-14,37.0,8,8,6196.625,0,11.314433343596543,0.28125,1.0
no,Oslo,Baerum,2025-07-14,38.0,11,11,4892.454545454545,0.040832795,16.830814716035277,0.18604651162790697,1.0
no,Oslo,Baerum,2025-07-14,41.0,12,12,5675.5,0.028668172,14.570114439742355,0.16438356164383561,0.95588235294117652
no,Oslo,Baerum,2025-07-14,42.0,7,6,5890.5,0.057876712,19.601774629209359,0.15151515151515152,0.59375
no,Oslo,Baerum,2025-07-15,,2,1,1032.0,0,11.582353322113114,0.15625,0.93103448275862066
no,Oslo,Baerum,2025-07-15,19.0,1,1,1551.0,0,0.0,1.0,1.0
no,Oslo,Baerum,2025-07-15,20.0,5,5,3180.6,0,6.1205794588492894,0.14583333333333334,1.0
no,Oslo,Baerum,2025-07-15,21.0,9,9,3086.4444444444443,0,6.0816721830323557,0.17391304347826086,0.97619047619047616
no,Oslo,Baerum,2025-07-15,23.0,14,14,2243.7857142857142,0,6.7379936854881421,0.21739130434782608,1.0
no,Oslo,Baerum,2025-07-15,24.0,18,16,3041.75,0,10.419678293432954,0.16949152542372881,0.95238095238095233
no,Oslo,Baerum,2025-07-15,25.0,13,13,3232.6153846153848,0,9.0134162248466918,0.17647058823529413,0.972972972972973
